blue_win,blue_kills,blue_deaths,blue_assists,blue_kda,red_kills,red_deaths,red_assists,red_kda,blue_Tank,red_Tank,blue_Mage,red_Mage,blue_Assassin,red_Assassin,blue_Marksman,red_Marksman,blue_Support,red_Support,blue_Fighter,red_Fighter,rank_score_red,rank_score_blue
1,22,14,30,3.7142857142857144,14,22,16,1.3636363636363635,0,118104,154196,176946,119292,205456,71520,183436,82676,65430,119292,118104,38.4,35.0
0,23,27,47,2.5925925925925926,27,23,60,3.782608695652174,144911,0,244312,525349,0,378496,133289,372966,71440,148213,144911,382666,34.4,34.0
0,20,33,42,1.878787878787879,33,20,62,4.75,169722,373572,444835,236672,169946,280211,240256,236752,94303,236672,169946,653783,36.0,34.8
1,32,18,40,4.0,18,32,36,1.6875,209385,223500,217860,206745,106812,348120,601266,117888,246250,0,209385,364875,37.6,36.0
0,40,58,63,1.7758620689655173,58,40,102,4.0,478481,0,307394,749628,586075,374544,586075,351522,0,664436,478481,1069832,35.2,37.6
1,37,32,58,2.96875,32,37,61,2.5135135135135136,524214,0,288507,501477,343494,537223,348894,198690,465663,216030,690552,251776,37.6,33.6
0,15,19,16,1.631578947368421,19,15,28,3.1333333333333333,176972,94314,116448,305476,208305,0,109812,515956,68960,0,316317,270658,36.8,32.8
0,16,33,16,0.9696969696969697,33,16,47,5.0,93357,325905,130273,176680,117468,0,413067,405345,0,0,93357,502585,32.6,34.4
0,6,30,12,0.6,30,6,44,12.333333333333334,39664,179154,113999,251125,0,0,48969,93489,65030,118824,39664,245725,36.0,34.4
1,35,21,56,4.333333333333333,21,35,30,1.457142857142857,0,234050,290588,0,215955,280332,144157,145587,253249,0,397451,134745,34.4,33.6
0,21,24,31,2.1666666666666665,24,21,51,3.5714285714285716,0,208620,0,131378,543046,490075,0,175014,91003,306392,634049,493030,36.8,31.8
1,20,8,22,5.25,8,20,6,0.7,0,0,203664,0,214116,0,175128,39056,95976,27006,0,98326,32.8,34.4
0,31,54,41,1.3333333333333333,54,31,69,3.967741935483871,0,428886,584637,850626,669762,0,0,790002,584637,850626,669762,428886,25.0,29.666666666666668
0,15,41,14,0.7073170731707317,41,15,57,6.533333333333333,38272,0,49725,115020,272757,198799,0,347640,0,84271,261304,0,34.4,32.8
1,28,16,45,4.5625,16,28,26,1.5,107436,196275,340494,255822,423030,140569,162302,140569,178192,255822,530466,196275,35.8,36.0
1,40,28,80,4.285714285714286,28,40,51,1.975,247696,116820,621468,255648,0,391530,528884,383535,385052,372468,247696,213870,33.8,36.0
0,37,47,65,2.1702127659574466,47,37,96,3.864864864864865,302175,635198,520174,0,408852,384390,340362,398160,520174,0,711027,1019588,37.6,36.6
1,44,14,100,10.285714285714286,14,44,33,1.0681818181818181,261024,88781,290938,386466,208170,316076,197925,360320,488863,0,208170,217290,38.4,33.4
1,20,12,17,3.0833333333333335,12,20,10,1.1,118524,53406,61290,83358,177726,96558,169581,130707,25123,26698,93401,123266,38.4,36.8
0,24,40,49,1.825,40,24,70,4.583333333333333,537573,0,309264,543123,248192,363492,336780,678893,201225,238432,336348,363492,36.0,35.2
0,24,35,29,1.5142857142857142,35,25,50,3.4,86548,383352,374043,212400,419025,177170,210630,177170,0,212400,86548,383352,36.8,33.6
0,4,16,5,0.5625,16,4,23,9.75,99919,102154,122197,0,0,239177,37280,155236,50607,39144,28329,63010,34.4,34.4
1,31,14,25,4.0,14,31,16,0.967741935483871,172676,0,71180,137072,0,224184,105492,86713,71180,153643,172676,361256,35.2,36.8
1,47,48,88,2.8125,48,48,85,2.7708333333333335,207075,170044,293624,945318,646478,304028,711594,636502,207075,335358,0,170044,35.2,33.6
0,27,33,40,2.0303030303030303,33,27,58,3.3703703703703702,313558,293387,263168,0,119388,354830,82555,354830,0,90827,169778,202560,36.8,35.2
0,5,15,8,0.8666666666666667,15,5,29,8.8,0,0,158169,33712,212592,0,135787,134247,27769,33712,0,86691,36.0,34.4
0,18,51,29,0.9215686274509803,51,18,78,7.166666666666667,66580,358080,133874,0,162792,0,105996,389226,0,279690,363246,247776,36.8,34.4
0,20,50,20,0.8,50,20,86,6.8,68160,319230,118704,215490,254927,215220,147277,168182,0,715532,323087,202590,39.2,35.2
1,19,10,23,4.2,10,19,7,0.8947368421052632,132166,37984,86482,52794,179949,180502,145765,38872,0,37984,134399,0,36.0,34.2
0,32,31,63,3.064516129032258,31,32,33,2.0,262208,306969,761963,0,548213,345312,202020,345312,213750,0,262208,306969,36.2,32.6
1,8,1,11,19.0,1,8,4,0.625,9820,1098,8700,14982,17136,9325,26836,24322,9820,0,0,10423,33.6,35.8
1,38,16,61,6.1875,16,38,30,1.2105263157894737,135551,207900,0,269751,732098,0,0,518580,135551,94149,732098,207900,37.6,35.0
1,29,11,50,7.181818181818182,11,29,12,0.7931034482758621,252624,0,332352,157197,196410,450334,0,274942,332352,157197,449034,175392,36.0,38.4
1,47,24,49,4.0,24,47,38,1.3191489361702127,0,146042,210825,0,217170,277498,417232,0,0,0,427995,423540,38.4,35.2
1,35,27,79,4.222222222222222,27,35,51,2.2285714285714286,393211,0,0,145366,293658,345301,0,525085,0,113580,686869,113580,36.8,36.8
1,53,51,99,2.980392156862745,51,53,57,2.0377358490566038,370260,200475,677298,0,408942,1091372,408942,0,284682,200475,370260,1091372,36.8,35.2
1,27,20,43,3.5,20,27,20,1.4814814814814814,0,87956,131157,87956,508519,0,204195,221484,131157,0,304324,134277,36.0,36.8
0,35,45,45,1.7777777777777777,45,35,77,3.4857142857142858,0,380430,238320,215010,0,388548,597465,405828,238320,215010,0,768978,36.0,33.4
0,56,41,79,3.292682926829268,41,57,57,1.719298245614035,291839,395388,218385,893476,308431,0,0,240144,0,0,510224,697342,32.0,33.0
1,41,18,46,4.833333333333333,18,41,12,0.7317073170731707,0,0,259904,373700,0,162834,259904,586329,0,243024,0,0,32.0,33.4
1,50,39,71,3.1025641025641026,39,50,52,1.82,240864,391690,671779,111156,0,1034232,290258,282030,620736,0,291907,1032736,35.2,31.6
0,38,45,65,2.2888888888888888,45,39,72,3.0,546834,303433,390204,729288,696726,422136,338148,351000,0,0,905412,1103857,34.8,36.0
1,26,16,36,3.875,16,26,30,1.7692307692307692,0,0,251453,343370,367945,229044,181426,366246,251453,72320,131833,133848,34.4,33.6
0,24,41,38,1.5121951219512195,41,24,48,3.7083333333333335,0,315357,292016,236832,281164,237136,249076,238608,115560,0,145860,789325,36.0,34.4
1,40,47,47,1.851063829787234,47,40,49,2.4,379098,367308,575730,342774,434520,431820,390870,637635,954828,286365,434520,367308,24.4,30.333333333333332
0,21,37,13,0.918918918918919,37,21,48,4.0476190476190474,0,0,271812,588376,203730,237328,204705,210930,271812,173236,203730,237328,25.333333333333332,31.5
1,23,26,32,2.1153846153846154,26,23,37,2.739130434782609,337734,297653,199170,0,861710,372294,560079,0,199170,200415,639365,870362,25.0,30.0
