blue_win,blue_kills,blue_deaths,blue_assists,blue_kda,red_kills,red_deaths,red_assists,red_kda,blue_Tank,red_Tank,blue_Mage,red_Mage,blue_Assassin,red_Assassin,blue_Marksman,red_Marksman,blue_Support,red_Support,blue_Fighter,red_Fighter,rank_score_red,rank_score_blue
0,20,35,22,1.2,35,21,57,4.380952380952381,188250,0,146068,241584,0,380994,146081,437753,0,349272,334318,139906,40.0,36.8
0,26,50,52,1.56,50,26,87,5.269230769230769,299491,0,181398,205455,0,507596,206865,212835,315857,170394,165032,472535,35.0,34.4
0,27,49,22,1.0,49,27,66,4.2592592592592595,0,0,179494,869920,251504,348570,251504,625453,179494,212355,0,348570,39.2,37.4
0,13,25,19,1.28,25,13,44,5.3076923076923075,358428,113676,179844,349948,203895,195480,0,409522,66130,0,562323,0,37.6,36.0
0,27,28,43,2.5,28,27,65,3.4444444444444446,109476,0,165480,237872,207660,296395,207660,0,0,148694,274956,445089,37.6,38.4
0,7,17,16,1.3529411764705883,16,7,26,6.0,91969,37696,165322,0,0,230535,36472,136269,0,37696,63670,54216,38.4,38.4
0,25,37,44,1.864864864864865,37,25,52,3.56,67090,70460,255564,210930,92840,282761,108744,210930,67090,0,206600,353221,37.6,36.8
1,23,10,46,6.9,10,23,24,1.4782608695652173,567001,173810,179522,323073,0,343429,169078,114072,0,118848,387479,313014,37.6,34.2
0,10,20,7,0.85,20,10,26,4.6,151695,109224,63830,115690,0,0,104700,54657,25305,170347,126390,109224,35.2,36.0
0,30,43,54,1.9534883720930232,43,30,69,3.7333333333333334,0,146107,381640,307258,0,0,469160,606917,161350,0,217560,146107,39.2,37.6
0,18,33,23,1.2424242424242424,33,18,49,4.555555555555555,131287,586924,372600,199860,369676,0,306840,176330,89804,0,131287,786784,37.6,36.0
1,31,18,50,4.5,18,31,17,1.1290322580645162,180600,180040,353429,274876,168056,88000,210630,309588,353429,88000,348656,180040,35.2,36.8
1,37,16,62,6.1875,16,37,15,0.8378378378378378,332154,142363,380052,216390,0,663770,615174,253280,593652,0,332154,769243,40.0,38.4
