blue_win,blue_kills,blue_deaths,blue_assists,blue_kda,red_kills,red_deaths,red_assists,red_kda,blue_Tank,red_Tank,blue_Mage,red_Mage,blue_Assassin,red_Assassin,blue_Marksman,red_Marksman,blue_Support,red_Support,blue_Fighter,red_Fighter,rank_score_red,rank_score_blue
0,17,38,19,0.9473684210526315,36,17,44,4.705882352941177,130468,115320,262194,476128,281550,0,116796,402294,87516,0,237340,356104,36.8,34.4
1,34,13,50,6.461538461538462,13,34,11,0.7058823529411765,0,140634,168420,271139,476706,134329,112776,0,70690,67340,195510,140634,34.666666666666664,32.0
1,31,27,53,3.111111111111111,27,31,45,2.3225806451612905,0,0,215505,860058,359064,236720,0,213510,215505,438596,359064,472736,38.4,36.75
0,23,38,29,1.368421052631579,38,23,41,3.4347826086956523,177254,131937,292238,0,182042,195915,140595,249344,110196,0,177254,577196,32.5,36.0
1,24,9,31,6.111111111111111,9,24,13,0.9166666666666666,148252,93676,80619,54918,0,0,104700,82775,80619,127328,148252,166086,36.0,32.8
0,10,27,13,0.8518518518518519,27,10,33,6.0,109188,133354,127907,0,69020,61240,107692,90629,47178,61240,189917,133354,35.4,34.0
0,21,30,29,1.6666666666666667,30,21,51,3.857142857142857,0,484864,0,160482,430226,307598,143650,0,0,160482,430226,792462,37.25,38.666666666666664
0,28,38,49,2.026315789473684,38,28,77,4.107142857142857,0,629310,371543,546832,165956,0,307733,208920,342660,181090,165956,263568,34.0,38.0
0,26,43,25,1.186046511627907,43,26,39,3.1538461538461537,292774,0,576388,422782,199560,1028098,199560,256512,113616,0,292774,348804,25.0,35.5
1,40,31,41,2.6129032258064515,31,40,39,1.75,0,237312,281384,658834,653371,456514,0,202320,399548,0,771535,0,33.0,30.0
0,46,48,72,2.4583333333333335,48,46,94,3.0869565217391304,496855,380225,141791,261616,283577,475051,0,0,141791,0,496855,416280,34.0,36.8
1,26,14,31,4.071428571428571,13,26,18,1.1923076923076923,298775,0,0,178340,0,435967,146731,299143,200310,72560,499085,164346,34.0,36.0
0,23,36,25,1.3333333333333333,36,23,53,3.869565217391304,294984,0,145093,262928,0,300815,104184,239136,249277,262928,294984,300815,37.6,34.0
0,13,24,13,1.0833333333333333,24,13,38,4.769230769230769,64190,142415,108852,106836,243922,309309,0,110904,134212,106836,198402,340820,36.0,36.0
0,15,28,13,1.0,28,15,35,4.2,136240,289726,71950,175336,300471,114864,131911,137254,71950,0,304800,404590,38.666666666666664,36.0
1,21,14,17,2.7142857142857144,13,21,18,1.4761904761904763,0,28280,162357,153343,249358,86163,91674,0,116729,0,112452,28280,34.0,34.0
1,31,18,45,4.222222222222222,18,31,18,1.1612903225806452,0,176008,213090,171326,0,0,0,88407,0,171326,0,176008,28.0,17.0
0,9,29,9,0.6206896551724138,29,9,36,7.222222222222222,0,0,93918,258129,183689,0,92257,105156,0,258129,196631,0,30.0,25.75
0,19,24,16,1.4583333333333333,24,19,32,2.9473684210526314,238884,250827,0,63030,0,316392,0,107292,0,63030,238884,250827,36.8,37.0
0,24,39,43,1.7179487179487178,39,24,69,4.5,273518,226354,356776,344484,182140,0,174636,0,0,485170,273518,85668,34.8,38.0
0,5,26,9,0.5384615384615384,26,5,31,11.4,0,120121,112304,71020,0,0,102742,64300,19068,71020,55044,92499,33.333333333333336,36.0
1,39,16,51,5.625,16,39,20,0.9230769230769231,109668,0,200460,183840,285923,338695,0,142025,0,183840,395591,208695,33.75,36.0
1,42,14,64,7.571428571428571,13,42,22,0.8333333333333334,0,200115,310335,137540,0,107700,179886,173570,113520,203410,0,200115,36.6,34.75
0,23,35,34,1.6285714285714286,35,23,54,3.869565217391304,114984,543753,0,237024,119268,0,225936,0,212250,237024,327234,543753,37.0,36.0
1,36,19,46,4.315789473684211,19,36,33,1.4444444444444444,0,348920,614133,106692,238848,0,0,140647,375285,0,0,348920,33.0,37.0
0,19,37,32,1.3783783783783783,37,20,60,4.85,213450,605702,323610,0,427215,535018,132470,247072,107880,0,424935,893648,32.0,37.333333333333336
0,33,50,48,1.62,50,33,94,4.363636363636363,304555,407232,548838,0,249152,0,500624,0,207360,218745,304555,407232,28.0,31.333333333333332
0,27,46,48,1.6304347826086956,46,27,79,4.62962962962963,0,761850,361656,912754,620418,0,620418,241056,533436,252640,171780,351828,30.0,26.666666666666668
0,26,36,49,2.0833333333333335,36,26,54,3.4615384615384617,368549,109716,0,256672,0,262608,200640,0,129493,256672,239056,372324,36.0,38.0
1,38,17,40,4.588235294117647,17,38,13,0.7894736842105263,443812,113460,370180,261735,0,140348,0,170996,0,72020,443812,416567,28.25,28.0
0,22,35,26,1.3714285714285714,35,22,63,4.454545454545454,0,263584,458170,217695,543402,348750,740132,0,0,217695,261440,954478,37.0,36.8
0,13,25,18,1.24,25,13,34,4.538461538461538,126107,0,67710,184548,154962,113616,87252,0,0,184548,126107,113616,39.0,37.0
1,40,22,53,4.2272727272727275,22,40,35,1.425,344376,0,720791,390580,0,246800,171626,402694,476983,143780,344376,201315,39.2,37.0
0,16,36,21,1.0277777777777777,36,16,43,4.9375,118567,140517,109692,33216,109692,33216,65140,0,0,92411,118567,232928,25.2,34.5
1,44,20,31,3.75,20,44,16,0.8181818181818182,249842,64100,143650,179508,363070,112104,115464,81246,0,147306,469262,289652,30.0,34.0
1,45,24,44,3.7083333333333335,24,45,20,0.9777777777777777,201105,170632,355087,134381,0,139828,171654,165942,355087,134381,201105,310460,27.5,40.0
0,38,46,24,1.3478260869565217,46,38,46,2.4210526315789473,310522,291074,145171,413598,600153,0,146380,347850,291551,163534,528067,291074,29.0,29.0
1,50,30,39,2.966666666666667,30,50,38,1.36,0,0,457611,210030,754560,247136,563346,248080,351001,210030,395874,247136,26.5,29.0
0,18,42,34,1.2380952380952381,42,18,37,4.388888888888889,245648,341082,466700,646502,216405,304521,0,512745,466700,0,462053,645603,32.5,33.666666666666664
0,9,19,9,0.9473684210526315,18,9,25,4.777777777777778,143456,107664,67230,215307,66180,80817,39656,0,106886,49977,209636,192177,36.0,33.333333333333336
1,27,15,39,4.4,15,27,15,1.1111111111111112,165928,0,225267,166446,0,136292,181440,172821,225267,217467,347368,187313,35.6,35.2
1,31,18,38,3.8333333333333335,18,31,21,1.2580645161290323,297080,183578,376100,0,0,0,0,0,175280,0,403740,183578,34.666666666666664,36.0
1,42,23,77,5.173913043478261,23,42,37,1.4285714285714286,0,0,196455,359946,603041,441041,557598,0,0,0,302430,557451,39.2,38.4
0,24,45,22,1.0222222222222221,45,24,38,3.4583333333333335,166712,0,83072,450726,85767,0,131703,0,83072,109788,166712,320418,30.0,31.0
0,37,45,52,1.9777777777777779,45,37,64,2.945945945945946,248704,639380,0,576100,138853,212805,0,0,138853,337572,248704,1090713,34.2,35.2
1,44,33,78,3.696969696969697,33,45,58,2.022222222222222,306782,515456,463092,205635,286280,216690,388332,216690,214500,205635,555374,515456,33.75,33.0
0,44,52,64,2.076923076923077,52,44,98,3.409090909090909,198165,692136,0,338328,976314,513016,668070,646843,0,220395,506409,353808,36.0,34.666666666666664
0,9,31,9,0.5806451612903226,31,9,35,7.333333333333333,65740,153192,0,107496,61710,0,101286,83765,39056,0,151344,194528,31.75,34.0
0,14,25,13,1.08,25,15,32,3.8,224120,103344,190890,174696,0,196084,49734,85316,49779,65820,132743,190552,34.5,24.5
1,32,29,45,2.6551724137931036,29,32,35,2.0,245008,0,579632,129922,130195,0,0,173166,130195,129922,824640,0,35.5,37.6
0,44,38,58,2.6842105263157894,38,44,45,1.8863636363636365,168728,0,180138,600604,390456,740861,0,0,0,140257,559184,0,37.6,36.4
0,38,42,76,2.7142857142857144,40,38,82,3.210526315789474,311542,0,1287067,416826,262736,393408,395262,0,295817,214920,644794,0,36.8,37.6
1,28,7,32,8.571428571428571,7,28,9,0.5714285714285714,140162,0,0,115118,48897,65330,169872,61804,48897,75072,140162,0,35.8,36.0
0,21,24,55,3.1666666666666665,24,22,50,3.3636363636363638,91047,118440,168616,235952,171612,648947,318533,383891,259663,0,344246,319800,34.8,32.0
1,39,18,63,5.666666666666667,18,39,30,1.2307692307692308,104952,223740,365486,54522,164696,0,0,72910,170156,54522,464978,223740,32.75,33.5
0,24,37,36,1.6216216216216217,36,24,70,4.416666666666667,138593,280262,262560,247392,242160,259008,179060,461187,0,0,401153,539270,33.333333333333336,33.666666666666664
1,37,25,37,2.96,25,37,25,1.3513513513513513,290734,144638,0,406658,453757,0,465346,247328,205410,117420,744491,144638,31.333333333333332,29.0
0,11,22,13,1.0909090909090908,22,11,28,4.545454545454546,130936,292312,105144,270800,179788,0,83589,0,0,104844,415868,458268,36.2,37.2
1,0,0,0,0.0,0,0,0,0.0,0,950,1104,821,1754,77,600,113,0,821,1754,1027,39.0,35.75
0,13,20,17,1.5,20,13,29,3.769230769230769,66460,147173,112224,255997,112224,340396,164724,106356,0,188207,231184,313423,34.0,38.4
